thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,one_coin.started,no_resp_text.stopped,one_coin.stopped,feedback.stopped,valence,correct,outcome,three_coin.started,three_coin.stopped,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,marker.stopped,slider_resp.stopped,submit_resp.stopped,three_cross.started,three_cross.stopped,one_cross.started,one_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,subj,difficulty,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,38,3.9,0.38,3.0,0.288,flat,curv_flat,0.0,0.38,rew,pen,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,14.022707100000844,None,None,None,['right'],[0.9706981999988784],[0.37590949999867007],up,1.6665170999986003,None,0,0,0,0,0,0,0,38,14.10780380000142,,0.02688099999795668,0.03296789999876637,0.03296789999876637,14.058032900000399,up,14.022707100000844,None,14.10052160000123,0.04246820000116713,14.984376500000508,14.984738299997844,14.991596600000776,15.991168299999117,15.974690200000623,15.975127999998222,0.00044809999963035807,17.309493000000657,17.310796699999628,17.325105200001417,17.325105200001417,17.325105200001417,17.325105200001417,17.325105200001417,17.325105200001417,17.325105200001417,19.008969599999546,"[0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.296, 0.304, 0.312, 0.32, 0.328, 0.336, 0.344, 0.352, 0.36, 0.368, 0.376, 0.384, 0.392, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]",None,None,['right'],[0.9706981999988784],[0.37590949999867007],up,1.6665170999986003,None,19.009378300001117,19.02460059999794,19.27453609999793,19.25808759999927,19.25848760000008,19.27453609999793,19.27453609999793,20.274655299999722,20.274655299999722,20.258149400000548,pen,1,1,,,,,,,,,,,,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
1,1,0,1,1,baseline,7,0.7,-0.26,1.0,0.38,curv,flat_curv,0.0,0.26,pen,rew,input_data/stims/Shape_0.70_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,14.022707100000844,None,None,None,['right'],[1.0302740000006452],[0.2241238999995403],up,1.5181941000009829,None,0,0,0,0,0,1,1,7,20.274655299999722,,,,,,,,,20.258804599998257,0.0006527000005007721,21.242494199999783,21.242876799999067,21.258003499999177,22.258017899999686,22.241537800000515,22.241969399998197,0.0004411999980220571,23.62599440000122,23.627310600000783,23.64141060000111,23.64141060000111,23.64141060000111,23.64141060000111,23.64141060000111,23.64141060000111,23.64141060000111,25.175844599998527,"[0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.388, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396]",None,None,['right'],[1.0302740000006452],[0.2241238999995403],up,1.5181941000009829,None,25.176234999998996,25.191438599998946,25.44144519999827,25.424937700001465,25.425332899998466,25.44144519999827,,26.441477600001235,,26.425054499999533,rew,1,3,25.44144519999827,26.441477600001235,,,,,,,,,,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
2,2,0,1,1,baseline,33,3.3,0.26,3.0,-0.048,flat,flat_curv,0.0,-0.26,rew,pen,input_data/stims/Shape_3.30_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,14.022707100000844,None,None,None,['left'],[2.707457299999078],[0.07990150000114227],None,,,0,0,0,0,0,2,2,33,26.441477600001235,,,,,,,,,26.42568200000096,0.000626200002443511,27.459702600001037,27.460556499998347,27.474854299998697,28.474870400001237,28.458392900000035,28.45885249999992,0.0004702000005636364,29.893043100000796,29.894370300000446,29.908262000000832,29.908262000000832,29.908262000000832,29.908262000000832,29.908262000000832,29.908262000000832,29.908262000000832,32.89266320000024,"[-0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.056, -0.064, -0.072, -0.08, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088]",None,None,['left'],[2.707457299999078],[0.07990150000114227],None,,,32.893237899999804,32.908325699998386,33.15835760000118,33.141835999998875,33.14912230000118,33.15835760000118,,34.15840639999806,,34.14185989999896,pen,0,-3,,,32.908325699998386,32.908325699998386,32.908325699998386,32.908325699998386,32.908325699998386,32.908325699998386,32.908325699998386,33.15835760000118,34.15840639999806,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
3,3,0,1,1,baseline,27,2.7,0.14,3.0,0.068,flat,flat_curv,0.0,-0.14,rew,pen,input_data/stims/Shape_2.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,14.022707100000844,None,None,None,['left'],[0.8886794999998529],[None],up,1.5926474000007147,None,0,0,0,0,0,3,3,27,34.15840639999806,,,,,,,,,34.14246859999912,0.0006075000019336585,35.126508000001195,35.12693959999888,35.14175609999802,36.141763299998274,36.12523520000104,36.12566750000042,0.00044379999962984584,37.560652399999526,37.56199800000104,37.57513639999888,37.57513639999888,37.57513639999888,37.57513639999888,37.57513639999888,37.57513639999888,37.57513639999888,39.17666800000006,"[0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.236, -0.244, -0.252, -0.26, -0.268, -0.276]",None,None,['left'],[0.8886794999998529],[None],up,1.5926474000007147,None,39.17705180000121,39.19184740000128,39.441838099999586,39.42533999999796,39.42624729999807,39.441838099999586,39.441838099999586,40.441873299998406,40.441873299998406,40.42544529999941,pen,1,1,,,,,,,,,,,,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
4,4,0,1,1,baseline,31,3.1,0.22,3.0,0.028,flat,flat_curv,0.0,-0.22,rew,pen,input_data/stims/Shape_3.10_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,14.022707100000844,None,None,None,['left'],[0.6849292000006244],[None],up,1.3810092999992776,None,0,0,0,0,0,4,4,31,40.441873299998406,,,,,,,,,40.42609040000025,0.0006456999981310219,41.36153220000051,41.36191559999861,41.37526380000054,42.375308399998175,42.3588079000001,42.35926209999889,0.0004654000003938563,43.84401530000105,43.84546069999851,43.858682599999156,43.858682599999156,43.858682599999156,43.858682599999156,43.858682599999156,43.858682599999156,43.858682599999156,45.24343239999871,"[0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.236, -0.244, -0.252, -0.26, -0.268, -0.276, -0.284, -0.292, -0.3, -0.308]",None,None,['left'],[0.6849292000006244],[None],up,1.3810092999992776,None,45.24379870000121,45.25870460000078,45.508680700000696,45.49216119999983,45.49256239999886,45.508680700000696,45.508680700000696,46.50870030000078,46.50870030000078,46.49221000000034,pen,1,1,,,,,,,,,,,,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
5,5,0,1,1,baseline,2,0.3,-0.34,1.0,0.172,curv,curv_flat,0.0,-0.34,pen,rew,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,14.022707100000844,None,None,None,['left'],[1.6062047999985225],[0.8641432000003988],up,2.4703479999989213,None,0,0,0,0,0,5,5,2,46.50870030000078,,,,,,,,,46.492813199998636,0.0006144999970274512,47.47657189999882,47.4769993000009,47.4920764999988,48.492099600000074,48.47562749999997,48.476066700000956,0.0004487999976845458,49.811494999998104,49.81288950000089,49.82549459999791,49.82549459999791,49.82549459999791,49.82549459999791,49.82549459999791,49.82549459999791,49.82549459999791,52.310131599999295,"[0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.236, -0.244, -0.244]",None,None,['left'],[1.6062047999985225],[0.8641432000003988],up,2.4703479999989213,None,52.31054489999951,52.325576200000796,52.57556900000054,52.55903649999891,52.55945720000091,52.57556900000054,,53.575666299999284,,53.55910329999824,rew,1,3,52.57556900000054,53.575666299999284,,,,,,,,,,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
6,6,0,1,1,baseline,39,3.9,0.38,3.0,0.152,flat,flat_curv,0.0,-0.38,rew,pen,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,14.022707100000844,None,None,None,['right'],[1.3851146999986668],[0.27206370000203606],up,1.7372149000002537,None,0,0,0,0,0,6,6,39,53.575666299999284,,,,,,,,,53.55972439999823,0.0006219999995664693,54.494545800000196,54.49492259999897,54.508947599999374,55.50896300000022,55.49244109999927,55.49289019999924,0.0004594999991240911,56.92679169999974,56.92848310000045,56.94253680000111,56.94253680000111,56.94253680000111,56.94253680000111,56.94253680000111,56.94253680000111,56.94253680000111,58.693583899999794,"[0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208, 0.216, 0.224, 0.232, 0.24, 0.248, 0.256, 0.264, 0.272, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",None,None,['right'],[1.3851146999986668],[0.27206370000203606],up,1.7372149000002537,None,58.69401579999976,58.709243599998445,58.95924019999802,58.942728300000454,58.94313329999932,58.95924019999802,,59.95925849999912,,59.94278399999894,pen,0,-3,,,,,,,,,,58.95924019999802,59.95925849999912,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
7,7,0,1,1,baseline,18,1.9,-0.02,1.0,0.068,curv,curv_flat,0.0,-0.02,pen,rew,input_data/stims/Shape_1.90_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,14.022707100000844,None,None,None,"['right', 'right', 'right']","[0.9768325000004552, 1.0968050999981642, 2.544781699998566]","[0.09592979999797535, 0.36800059999950463, 0.09593880000102217]",None,,,0,0,0,0,0,7,7,18,59.95925849999912,,,,,,,,,59.943411500000366,0.0006302000001596753,61.02715840000019,61.02754070000083,61.04265110000051,62.042665099997976,62.02610419999837,62.02656569999817,0.0004712000009021722,63.510737299999164,63.512027199998556,63.526894300001004,63.526894300001004,63.526894300001004,63.526894300001004,63.526894300001004,63.526894300001004,63.526894300001004,66.51043170000048,"[0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.188, 0.196, 0.204, 0.212, 0.22, 0.228, 0.236, 0.244, 0.252, 0.26, 0.268, 0.276, 0.284, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.292, 0.3, 0.308, 0.316, 0.324, 0.332, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34]",None,None,"['right', 'right', 'right']","[0.9768325000004552, 1.0968050999981642, 2.544781699998566]","[0.09592979999797535, 0.36800059999950463, 0.09593880000102217]",None,,,66.51094390000071,66.52612669999871,66.77612329999829,66.75960679999844,66.7619866999994,66.77612329999829,,67.77615299999889,,67.75968079999802,rew,0,-1,,,66.52612669999871,66.52612669999871,66.52612669999871,66.52612669999871,66.52612669999871,66.52612669999871,66.52612669999871,,,66.77612329999829,67.77615299999889,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
8,8,0,1,1,baseline,13,1.3,-0.14,1.0,-0.356,curv,flat_curv,0.0,0.14,pen,rew,input_data/stims/Shape_1.30_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,14.022707100000844,None,None,None,['right'],[1.2267972999979975],[None],up,2.266675999999279,None,0,0,0,0,0,8,8,13,67.77615299999889,,,,,,,,,67.76028899999801,0.0006052999997336883,68.6439735999993,68.6443505999996,68.65952539999853,69.6595430999987,69.64304640000046,69.6434823999989,0.000447300000814721,71.07700470000054,71.07830499999909,71.09293179999804,71.09293179999804,71.09293179999804,71.09293179999804,71.09293179999804,71.09293179999804,71.09293179999804,73.36121179999827,"[-0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.348, -0.34, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.252, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148]",None,None,['right'],[1.2267972999979975],[None],up,2.266675999999279,None,73.36162189999959,73.3763472999999,73.62635560000126,73.60979320000115,73.61067569999796,73.62635560000126,,74.6262655999999,,74.60985249999794,rew,1,3,73.62635560000126,74.6262655999999,,,,,,,,,,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
9,9,0,1,1,baseline,21,2.1,0.02,3.0,-0.076,flat,flat_curv,0.0,-0.02,rew,pen,input_data/stims/Shape_2.10_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,14.022707100000844,None,None,None,['right'],[1.8263370000022405],[0.671893499998987],up,2.794326400002319,None,0,0,0,0,0,9,9,21,74.6262655999999,,,,,,,,,74.61045469999954,0.0006006000003253575,75.59500290000142,75.59538919999977,75.60971380000046,76.60973540000123,76.59323279999808,76.59366940000109,0.0004462999968382064,77.87744759999987,77.87873330000002,77.89340059999813,77.89340059999813,77.89340059999813,77.89340059999813,77.89340059999813,77.89340059999813,77.89340059999813,80.69421180000063,"[-0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.188, 0.196, 0.204, 0.212, 0.22, 0.228, 0.236, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244]",None,None,['right'],[1.8263370000022405],[0.671893499998987],up,2.794326400002319,None,80.69464940000034,80.70985179999843,80.95985400000063,80.94333750000078,80.94374299999981,80.95985400000063,,81.95989249999911,,81.94346550000046,pen,0,-3,,,,,,,,,,80.95985400000063,81.95989249999911,,,,,,,,,,,,202522,patients,D,2026-01-01_16h46.03.004,asymmetry_final,2024.2.4,60,2026-01-01 16h46.37.833115 -0700,
